id,title,album,artist_name,genre,year,length,bitrate,lyrics,album_id,artist_id
1,Good Ol' 39 Days,#3 (Deluxe Version),The Script,Alternative Rock,2012,264045,320000,,54,26
2,A Great Big Sled (feat. Toni Halliday),(RED) Christmas EP,The Killers,Holiday,2011,259030,320000,,375,286
3,Brutal Love,¡TRÉ!,Green Day,Rock,2012,296356,320000,,1000,591
4,Love Me Do,1,The Beatles,Pop,2000,141349,192000,,617,458
5,Low Low (ft Tee Cee & Nipsey Hussle & RJ),10 Summers,DJ Mustard,Hip-Hop,2014,156290,320000,,204,183
6,Chandelier,1000 Forms Of Fear,Sia,Pop,2014,216120,320000,,610,74
7,Around and Around,12 X 5,The Rolling Stones,Rock & Roll,1964,185260,200494,,1070,614
8,Price To Play,14 Shades Of Grey,Staind,Rock,2003,217469,320000,,1050,605
9,Right Where I Belong,17 days,3 Doors Down,Rock,2003,265287,128000,,966,577
10,Green Valley,18 Months,Calvin Harris,Electronic,2012,109165,320000,,128,89
11,Fuckin Crack,187,Tyga,Hip-Hop,2012,176065,320000,,352,279
12,Daydreams,19 (Deluxe Edition),Adele,Pop,2008,220551,161719,,476,81
13,The Ghost Of You,19 Love Ballads,MLTR,R&B,2004,240242,128000,,841,540
14,Help!,1962 1966 (The Red Album),The Beatles,Pop,1973,139063,128000,,618,458
15,Love Me Do,1962 1966 (The Red Album),The Beatles,Pop,1973,141852,128000,,618,458
16,Back In The U.S.S.R.,1967 1970 (The Blue Album),The Beatles,Pop,1973,168734,128000,,619,458
17,Strawberry Fields Forever,1967 1970 (The Blue Album),The Beatles,Pop,1973,250916,128000,,619,458
18,Rapper's Delight (1980),1980-1990's Rap,The Sugarhill Gang,Hip-Hop,1980,456071,192000,,1163,2147
19,Welcome To New York,1989 (Deluxe),Taylor Swift,Pop,2014,215808,320000,,616,79
20,Intro,2014 Forest Hills Drive,J. Cole,Hip-Hop,2014,130391,256000,,249,231
21,Rolling In The Deep,21,Adele,Pop,2011,229093,320000,,477,81
22,Gambler,21 Number Ones,Kenny Rogers,Country,2006,212825,96000,,90,40
23,Song Of The Century,21st Century Breakdown,Green Day,Rock,2009,57835,112295,,996,591
24,Bistose,23,Behzad Leito,Persian,2015,214347,320000,,440,402
25,Hello,25,Adele,Pop,2015,295549,320000,,478,81
26,Aw Shit,28 Grams,Wiz Khalifa,Hip-Hop,2014,201791,224000,,363,149
27,Young Black Male,2Pacalypse Now,2Pac,Hip-Hop,1991,155092,320000,,166,166
28,Intro - Rick Ross,3 Kings,"Rick Ross, Jay-Z, Dr. Dre",Hip-Hop,2012,14987,320000,,343,270
29,Vivir Mi Vida,3. 0,Marc Anthony,Latin,2013,252421,320000,,427,387
30,Follow Me Back To Louisville,30 Classic Tracks,Don Williams,Country,2009,155062,192000,,68,32
31,Capricorn (A Brand New Name),30 Seconds To Mars,30 Seconds To Mars,Alternative Rock,2002,233139,320000,,8,6
32,Not In Love,7,Enrique Iglesias,R&B,2003,223504,320000,,756,495
33,Child In Time,70s Hits,Deep Purple,Collection,1970,614844,320000,,1123,588
34,Hocus Pocus,70s Hits,Focus,Collection,1970,400352,320000,,1123,846
35,It's A Heartache,70s Hits,Bonnie Tyler,Collection,1970,208692,320000,,1123,847
36,Spanish Stroll,70s Hits,Mink De Ville,Collection,1970,216999,320000,,1123,848
37,The Air That I Breathe,70s Hits,"Hollies, The",Collection,1970,244871,320000,,1123,849
38,Lose Yourself,8 Mile,Eminem,Hip-Hop,2002,320417,320000,,210,185
39,The Black Rain,A Beautiful Dystopia,Okera,Doom Metal,2012,564636,320000,,123,151
40,Attack,A Beautiful Lie,30 Seconds To Mars,Alternative Rock,2005,189267,320000,,9,6
41,Ruckus In B Minor,A Better Tomorrow,Wu-Tang Clan,Hip-Hop,2014,325015,320000,,369,282
42,Hold Me Til' The Morning Comes (Ft Peter Cetera),A Body Of Work,Paul Anka,Soul,1998,293214,128000,,1106,708
43,Sos,A Girl Like Me,Rihanna,R&B,2006,240300,320000,,883,452
44,A Hard Day's Night,A Hard Day's Night,The Beatles,Pop,1964,152607,192000,,620,458
45,Des Mots Qui Sonnent,A L'olympia,Celine Dion,R&B,1994,255462,160000,,719,490
46,Under The Sun,A Million Lights (Deluxe Version),Cheryl,Pop,2012,209031,320000,,487,417
47,I`m Alive,A New Day Has Come,Celine Dion,R&B,2002,209658,192000,,720,490
48,Can't Rely on You,A Perfect Contradiction (Deluxe),Paloma Faith,Pop,2014,195030,320000,,567,447
49,Politik,A Rush Of Blood To The Head,Coldplay,Alternative Rock,2002,318667,319075,,15,10
50,We Are What You Say,A Sun Came,Sufjan Stevens,Folk Rock,2000,320052,192000,,396,294
51,The Requiem,A Thousand Suns,Linkin Park,Electronic Rock,2010,122329,320000,,152,156
52,Red Lights,A Town Called Paradise,Tiësto,Electronic,2014,260127,320000,,150,155
53,Round & Round,A Year Without Rain,Selena Gomez,Pop,2010,186253,320000,,598,62
54,Come Together,Abbey Road,The Beatles,Pop,1969,258977,235224,,621,458
55,Good Ass (Intro),Acid Rap,Chance The Rapper,Hip-Hop,2013,239046,320000,,195,178
56,Whataya Want From Me [Version],Acoustic Live!,Adam Lambert,Pop,2010,235546,148067,,469,80
57,Barre,Adia,Oliver N'goma,Rhumba,1996,348316,192000,,1230,2682
